tanggal,Sentiment_Score
2018-08-13,-1.0
2018-08-14,-1.0
2018-08-27,1.0
2018-09-17,0.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-27,1.0
2018-10-02,-1.0
2018-10-11,-1.0
2018-10-12,1.0
2018-10-25,0.0
2018-11-26,1.0
2018-12-03,1.0
2018-12-24,-1.0
2018-12-26,1.0
2018-12-28,1.0
2019-01-21,1.0
2019-01-22,1.0
2019-01-23,1.0
2019-01-25,0.0
2019-01-31,1.0
2019-02-24,1.0
2019-02-25,-1.0
2019-03-18,1.0
2019-04-15,0.0
2019-04-17,1.0
2019-04-18,1.0
2019-04-22,1.0
2019-04-23,1.0
2019-04-24,1.0
2019-04-26,1.0
2019-05-17,-1.0
2019-05-19,-1.0
2019-05-20,-1.0
2019-05-21,1.0
2019-05-22,-1.0
2019-05-23,1.0
2019-06-28,1.0
2019-07-01,1.0
2019-07-23,1.0
2019-09-12,1.0
2019-09-24,-1.0
2019-09-25,-1.0
2019-09-30,1.0
2019-10-03,1.0
2019-10-04,-1.0
2019-10-31,0.0
2019-11-04,0.0
2019-11-05,1.0
2019-11-06,-0.3333333333333333
2019-11-07,-1.0
2019-11-08,1.0
2019-11-11,-1.0
2019-11-12,1.0
2019-11-13,-1.0
2019-11-18,-1.0
2019-11-19,0.0
2019-11-20,-1.0
2019-11-21,0.0
2019-12-01,-1.0
2019-12-02,-1.0
2019-12-03,0.0
2019-12-04,-1.0
2019-12-09,0.0
2019-12-26,1.0
2019-12-30,0.3333333333333333
2020-01-25,0.0
2020-01-27,-1.0
2020-01-31,-1.0
2020-02-03,-1.0
2020-02-06,1.0
2020-02-09,-1.0
2020-02-22,-1.0
2020-02-28,-1.0
2020-02-29,0.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-06,-1.0
2020-03-07,0.0
2020-03-09,-0.75
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,-0.8181818181818182
2020-03-13,-0.3333333333333333
2020-03-16,-1.0
2020-03-17,-0.6
2020-03-18,-0.6
2020-03-19,-0.3333333333333333
2020-03-20,-0.3333333333333333
2020-03-21,-1.0
2020-03-23,-1.0
