Date,Close,Open,High,Low,Volume,Change%
02/08/2018,6011.72,6039.59,6055.07,6011.72,"7,78B","-0,36%"
03/08/2018,6007.54,6014.8,6023.48,5994.04,"5,72B","-0,07%"
06/08/2018,6101.13,6025.61,6102.54,6025.43,"6,62B","1,56%"
07/08/2018,6091.25,6100.0,6113.99,6079.48,"6,03B","-0,16%"
08/08/2018,6094.83,6110.84,6117.29,6081.63,"6,47B","0,06%"
09/08/2018,6065.26,6084.75,6105.92,6055.27,"6,24B","-0,49%"
10/08/2018,6077.17,6084.8,6107.7,6059.99,"5,29B","0,20%"
13/08/2018,5861.25,6029.47,6034.56,5861.25,"6,09B","-3,55%"
14/08/2018,5769.87,5850.72,5890.99,5744.57,"5,70B","-1,56%"
15/08/2018,5816.59,5782.38,5819.64,5689.94,"6,20B","0,81%"
16/08/2018,5783.8,5788.06,5811.62,5743.49,"5,34B","-0,56%"
20/08/2018,5892.19,5833.54,5919.33,5833.54,"5,50B","1,87%"
21/08/2018,5944.3,5899.3,5953.91,5899.3,"5,90B","0,88%"
23/08/2018,5982.98,5962.1,5991.3,5934.29,"5,36B","0,65%"
24/08/2018,5968.75,5975.41,5993.6,5949.61,"4,95B","-0,24%"
27/08/2018,6025.97,5993.76,6025.97,5993.7,"6,57B","0,96%"
28/08/2018,6042.65,6042.89,6065.25,6023.22,"5,91B","0,28%"
29/08/2018,6065.15,6025.6,6065.15,6003.49,"6,30B","0,37%"
30/08/2018,6018.96,6075.27,6086.94,6013.37,"5,85B","-0,76%"
31/08/2018,6018.46,5984.96,6018.46,5940.65,"5,95B","-0,01%"
03/09/2018,5967.58,6025.41,6026.91,5954.93,"4,43B","-0,85%"
04/09/2018,5905.3,5974.76,5978.73,5889.1,"5,40B","-1,04%"
05/09/2018,5683.5,5868.78,5868.78,5621.6,"7,18B","-3,76%"
06/09/2018,5776.1,5661.96,5786.66,5660.86,"5,79B","1,63%"
07/09/2018,5851.47,5780.81,5851.47,5769.25,"5,43B","1,30%"
10/09/2018,5831.12,5835.38,5840.87,5776.02,"5,39B","-0,35%"
12/09/2018,5798.15,5839.31,5870.6,5798.15,"6,14B","-0,57%"
13/09/2018,5858.27,5834.77,5865.07,5834.77,"6,64B","1,04%"
14/09/2018,5931.28,5870.98,5931.28,5870.98,"5,66B","1,25%"
17/09/2018,5824.26,5908.43,5911.65,5811.92,"5,96B","-1,80%"
18/09/2018,5811.79,5818.72,5844.95,5781.29,"7,10B","-0,21%"
19/09/2018,5873.6,5835.8,5882.66,5835.8,"6,96B","1,06%"
20/09/2018,5931.27,5898.48,5941.02,5897.6,"7,09B","0,98%"
21/09/2018,5957.74,5956.5,5975.17,5935.04,"8,63B","0,45%"
24/09/2018,5882.22,5958.57,5958.57,5876.65,"6,87B","-1,27%"
25/09/2018,5874.3,5875.16,5895.02,5850.75,"6,59B","-0,13%"
26/09/2018,5873.27,5871.56,5908.59,5870.3,"7,51B","-0,02%"
27/09/2018,5929.22,5871.44,5931.72,5870.54,"5,97B","0,95%"
28/09/2018,5976.55,5930.6,5976.55,5930.6,"6,27B","0,80%"
01/10/2018,5944.6,5950.86,5982.06,5944.6,"6,06B","-0,53%"
02/10/2018,5875.62,5947.25,5956.78,5862.95,"8,77B","-1,16%"
03/10/2018,5867.74,5874.49,5921.57,5848.16,"7,29B","-0,13%"
04/10/2018,5756.62,5847.6,5847.6,5742.31,"9,02B","-1,89%"
05/10/2018,5731.94,5738.59,5758.27,5706.4,"6,49B","-0,43%"
08/10/2018,5761.07,5728.7,5794.43,5728.64,"7,37B","0,51%"
09/10/2018,5796.79,5771.92,5796.79,5756.24,"6,45B","0,62%"
